,cnpj
0,53654877000162
1,15127491000103
2,19628742000194
3,00606375000108
4,02409463000137
5,03094213000118
6,00819673000178
7,17352113000159
8,61666533000100
9,92758457000188
10,11502978000178
11,06125127000113
12,01243305000197
13,10794212000141
14,03091047000104
15,82911645000140
16,43306026000175
17,07621187000190
18,60892437000109
19,61585873000289
20,49368889000153
21,00625722000131
22,57613051000106
23,04242005000181
24,06653454000148
25,82981853000116
26,06690317000183
27,04658888000105
28,07903911000178
29,00988777000106
30,09382549000162
31,25100223000151
32,04809777000152
33,12264846000118
34,26404764000136
35,07367050000150
36,25298662000110
37,01605470000141
38,05755219000114
39,67567149000128
40,32388449000165
41,45951696000170
42,00935720000149
43,94385952000114
44,37332434000107
45,17290057000175
46,17501131000155
47,73680142000110
48,05386554000192
49,07084894000194
50,04593196000126
51,61380879000139
52,65971624000100
53,45043601000110
54,64904972000193
55,05094293000137
56,08290152000188
57,00315724000124
58,32218141000171
59,19256296000134
60,11613627000134
61,92846245000152
62,06258112000123
63,06746223000189
64,03208995000179
65,45998135000126
66,05795332000123
67,74280447000106
68,74521840000136
69,08781398000152
70,00477319000102
71,04178490000171
72,65671224000170
73,07044419000194
74,03866077000137
75,37986213000144
76,09112999000135
77,30759534000167
78,44218154000120
79,30480743000177
80,92195650000158
81,43175454000106
82,02459530000128
83,04949179000189
84,04020896000121
85,00974646000170
86,10284188000109
87,86499399000112
88,02035992000118
89,05090494000166
90,03770961000173
91,10323007000106
92,07296453000156
93,05247095000166
94,04700400000160
95,03454819000117
96,02223491000165
97,41847153000156
98,02910947000165
99,35864271000170
100,01747501000107
101,01010853000177
102,07082806000115
103,04793429000134
104,07813902000196
105,07081149000191
106,52645009000153
107,21706155000118
108,01634373000187
109,07557369000149
110,03577587000194
111,06278695000154
112,19658020000182
113,53687216000133
114,00296375000140
115,10419620000113
116,33000076000176
117,10803716000180
118,01871661000155
119,96704127000160
120,61536744000110
121,01092071000124
122,93296127000180
123,04395040000130
124,76715309000120
125,08378985000103
126,54945902000120
127,90134115000161
128,06974360000170
129,01374548000164
130,09257039000163
131,05954423000164
132,05614974000189
133,08748299000179
134,47709365000153
135,38011664000129
136,55023212000186
137,50607043000108
138,03310865000142
139,03364610000162
140,11085724000100
141,60528437000124
142,44367522000100
143,59451724000102
144,00385181000111
145,61801056000130
146,07128849000194
147,77353662000170
148,50105048000132
149,53574521000119
150,47532825000110
151,47611306000148
152,07660698000110
153,03004953000116
154,04900055000109
155,50117142000101
156,01035935000176
157,11957227000146
158,62017629000100
159,00066511000106
160,06255063000175
161,05351362000140
162,05932790000167
163,17019016000149
164,07920260000124
165,12015052000110
166,84696178000109
167,07089893000132
168,88943311001530
169,09628877000104
170,73670861000150
171,28424588000120
172,02479893000125
173,00319362000140
174,00871133000133
175,62947783000172
176,03083576000158
177,82614041000132
178,04235334000103
179,09151473000164
180,05502248000174
181,29229861000128
182,04510468000268
183,19998046000170
184,01981349000114
185,91156901000122
186,04540960000103
187,62201116000146
188,11115471000161
189,07757642000189
190,07172800000139
191,95063343000101
192,00006558000184
193,08209941000141
194,96573803000104
195,50187889000136
196,60893195000178
197,82949371000189
198,05601374000186
199,58733585000562
200,02165825000191
201,01949507000159
202,03676785000105
203,04299229000120
204,02555908000197
205,04821956000105
206,06076766000136
207,08293719000170
208,10942652000107
209,12321171000100
210,14718337000143
211,51086080000180
212,04423567000121
213,08232799000153
214,11086466000178
215,12040975000122
216,12044460000109
217,13197891000160
218,13199340000135
219,75120279000146
220,04506236000155
221,08350493000100
222,17677343000198
223,02338823000157
224,14811848000105
225,02414858000128
226,02783009000141
227,04697050000120
228,08247215000113
229,09239112000174
230,10197200000130
231,56563729000120
232,03691766000158
233,01733629000103
234,00680835000130
235,10738770000190
236,12593859000130
237,77574176000181
238,01806966000183
239,02228295000183
240,59527424000151
241,09029442000135
242,00102912000174
243,04879176000116
244,61655395000155
245,61089868000102
246,02171763000120
247,01141767000101
248,07433912000104
249,20379004000130
250,60850799000137
251,05672854000138
252,03058510000108
253,24587586000109
254,10761389000141
255,10606618000153
256,25332198000131
257,65573719000167
258,03446310000122
259,05994759000150
260,05696948000147
261,93826360000128
262,52769684000194
263,04032707000130
264,81875213000169
265,11418447000100
266,09425028000145
267,01881601000113
268,58528761000109
269,04400905000100
270,08955364000137
271,73674632000104
272,00274682000120
273,61535266000123
274,10498783000139
275,04738856000110
276,05051838000128
277,11230614000186
278,03424767000136
279,02637265000120
280,02992308000196
281,06114122000195
282,20466389000172
283,04481225000168
284,09595294000116
285,03377294000163
286,02975285000101
287,29041324000150
288,43337203000180
289,07825739000181
290,02976206000187
291,04914372000184
292,82500752000186
293,41738832000197
294,07670979000154
295,09120896000117
296,04892671000165
297,07111938000128
298,02681115000203
299,16401168000149
